1738589903.5895524, [254, 172, 145]
1738589903.6229053, [250, 168, 141]
1738589903.656257, [242, 162, 136]
1738589903.6896095, [254, 172, 145]
1738589903.7229614, [252, 167, 141]
1738589903.7563143, [242, 162, 136]
1738589903.789666, [254, 172, 145]
1738589903.823019, [249, 167, 140]
1738589903.8563712, [243, 163, 138]
1738589903.8897238, [253, 171, 144]
1738589903.923076, [250, 165, 139]
1738589903.9564292, [242, 162, 136]
1738589903.9897811, [254, 172, 145]
1738589904.0231345, [250, 165, 141]
1738589904.0564868, [242, 162, 136]
1738589904.0898402, [253, 171, 144]
1738589904.1231923, [248, 166, 139]
1738589904.1565456, [243, 163, 138]
1738589904.1898983, [255, 174, 147]
1738589904.2232518, [249, 167, 140]
1738589904.2566092, [242, 162, 136]
1738589904.2899497, [255, 173, 146]
1738589904.3232892, [250, 168, 141]
1738589904.3566294, [241, 161, 135]
1738589904.3899686, [254, 172, 145]
1738589904.423309, [248, 166, 139]
1738589904.4566483, [240, 162, 136]
1738589904.4899888, [254, 172, 145]
1738589904.5233278, [248, 166, 139]
1738589904.5566683, [242, 162, 136]
1738589904.5900073, [255, 174, 147]
1738589904.6233475, [249, 167, 140]
1738589904.6566868, [242, 162, 136]
1738589904.6900268, [255, 173, 146]
1738589904.7233658, [248, 166, 141]
1738589904.7567058, [243, 163, 138]
1738589904.790045, [255, 174, 147]
1738589904.8233848, [247, 166, 141]
1738589904.8567238, [243, 161, 136]
1738589904.8900638, [254, 172, 145]
1738589904.9234025, [246, 163, 139]
1738589904.9567425, [244, 164, 139]
1738589904.9900813, [254, 171, 147]
1738589905.023421, [245, 165, 140]
1738589905.0567598, [244, 164, 139]
1738589905.0900996, [255, 173, 146]
1738589905.1234381, [244, 164, 139]
1738589905.1567779, [244, 164, 139]
1738589905.1901166, [255, 173, 146]
1738589905.2234564, [244, 164, 137]
1738589905.2567947, [243, 163, 138]
1738589905.2901342, [255, 174, 147]
1738589905.323473, [244, 164, 137]
1738589905.3568122, [244, 164, 139]
1738589905.3901508, [255, 174, 147]
1738589905.4234903, [244, 164, 139]
1738589905.4568286, [243, 163, 136]
1738589905.4901679, [255, 173, 146]
1738589905.5568454, [244, 164, 139]
1738589905.9235685, [244, 164, 139]
1738589905.9569073, [244, 164, 139]
1738589905.990245, [255, 174, 147]
1738589906.0235837, [243, 163, 138]
1738589906.09026, [255, 173, 146]
1738589906.1235976, [243, 163, 138]
1738589906.156936, [247, 164, 140]
1738589906.1902738, [255, 174, 147]
1738589906.223612, [242, 162, 136]
1738589906.2569475, [248, 166, 141]
1738589906.290291, [255, 173, 146]
1738589906.3236334, [242, 162, 136]
1738589906.356977, [248, 168, 140]
1738589906.3903196, [255, 173, 146]
1738589906.4236631, [243, 163, 138]
1738589906.4570053, [245, 165, 140]
1738589906.4903488, [255, 174, 147]
1738589906.5236912, [241, 161, 135]
1738589906.5570347, [247, 164, 140]
1738589906.590377, [255, 173, 146]
1738589906.6237204, [242, 162, 136]
1738589906.6570628, [248, 166, 139]
1738589906.6904063, [254, 172, 145]
1738589906.7237484, [242, 162, 136]
1738589906.757092, [250, 168, 141]
1738589906.7904344, [255, 174, 147]
1738589906.8237777, [244, 164, 139]
1738589906.8571198, [249, 167, 140]
1738589906.8904634, [254, 172, 145]
1738589906.9238057, [242, 162, 136]
1738589906.957149, [250, 168, 143]
1738589906.9904912, [254, 172, 145]
1738589907.0238345, [243, 163, 138]
1738589907.0571768, [249, 167, 142]
1738589907.09052, [253, 171, 144]
1738589907.1238623, [243, 163, 138]
1738589907.1572053, [248, 166, 141]
1738589907.1905477, [255, 173, 146]
1738589907.2238908, [240, 162, 136]
1738589907.2572348, [250, 168, 141]
1738589907.2905755, [254, 172, 145]
1738589907.3239148, [240, 162, 136]
1738589907.3572555, [252, 169, 143]
1738589907.3905947, [254, 172, 145]
1738589907.4239354, [242, 162, 136]
1738589907.4572747, [250, 168, 141]
1738589907.490615, [254, 172, 145]
1738589907.5239544, [242, 162, 136]
1738589907.5572946, [253, 169, 143]
1738589907.590634, [254, 171, 147]
1738589907.623974, [240, 159, 134]
1738589907.6573136, [251, 166, 142]
1738589907.6906538, [254, 172, 145]
1738589907.7239928, [239, 161, 135]
1738589907.757333, [254, 170, 144]
1738589907.790672, [254, 171, 147]
1738589907.8240125, [243, 162, 140]
